gameid,datacompleteness,league,year,split,playoffs,date,game,gamelength,participantid,position,playername,playerid,teamname,teamid,result,kills,assists,deaths,total cs,teamkills,teamdeaths,cspm,damageshare,earnedgoldshare,participantid,teamname,teamid,result,teamkills,assists,teamdeaths,dragons,opp_dragons,heralds,opp_heralds,barons,opp_barons,towers
LOLTMNT06_13630,complete,LEC,2024,Winter,0,2024-01-13 16:10:20,1,1749,4,bot,Ice,oe:player:8bac58409e91b96ecd05f6d8f053e07,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,0,2,2,2,292.0,10,14,10.0172,0.170993,0.24229,4,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,0,10,2,14,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13630,complete,LEC,2024,Winter,0,2024-01-13 16:10:20,1,1749,9,bot,Hans Sama,oe:player:c62a5235ad6bc113a1e64eb0e9aa8c8,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,4,5,2,265.0,14,10,9.0909,0.318383,0.250882,9,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,14,5,10,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12701,complete,LEC,2024,Winter,0,2024-01-13 17:06:48,1,2080,4,bot,Comp,oe:player:5d531a4cf817202fc25eda63906e797,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,3,0,2,348.0,4,16,10.0385,0.342409,0.309376,4,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,4,0,16,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12701,complete,LEC,2024,Winter,0,2024-01-13 17:06:48,1,2080,9,bot,Exakick,oe:player:421e0bf2299dd900add6d3e99e69c5d,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,5,5,1,314.0,16,4,9.0577,0.173323,0.227297,9,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,16,5,4,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13667,complete,LEC,2024,Winter,0,2024-01-13 18:15:52,1,2370,4,bot,Upset,oe:player:fe4329cec43193c425eb28a4a4b304a,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,2,3,2,373.0,9,20,9.443,0.268459,0.263423,4,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,9,3,20,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13667,complete,LEC,2024,Winter,0,2024-01-13 18:15:52,1,2370,9,bot,Noah,oe:player:95d286ec0a5d750d09e848a4e630c56,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,4,8,2,355.0,20,9,8.9873,0.271687,0.232576,9,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,20,8,9,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12743,complete,LEC,2024,Winter,0,2024-01-13 19:24:48,1,1964,4,bot,Carzzy,oe:player:ec0c2b8d7630efba391c288765d4d7e,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,5,9,6,266.0,18,24,8.1263,0.309249,0.240728,4,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,18,9,24,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12743,complete,LEC,2024,Winter,0,2024-01-13 19:24:48,1,1964,9,bot,Patrik,oe:player:1dad889ff236635dc1e03d02312e79c,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,1,11,10,4,272.0,24,18,8.3096,0.335995,0.337192,9,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,1,24,10,18,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13695,complete,LEC,2024,Winter,0,2024-01-13 20:28:03,1,1657,4,bot,Supa,oe:player:1223a0ed2bfab9b714c72d965df8133,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,2,6,0,243.0,17,1,8.799,0.131243,0.195459,4,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,17,6,1,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13695,complete,LEC,2024,Winter,0,2024-01-13 20:28:03,1,1657,9,bot,Flakked,oe:player:717bb4d71a2dab54e7020b1a8fde420,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,0,0,0,3,261.0,1,17,9.4508,0.272487,0.26927,9,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,0,1,0,17,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12814,complete,LEC,2024,Winter,0,2024-01-14 16:38:26,1,2134,4,bot,Patrik,oe:player:1dad889ff236635dc1e03d02312e79c,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,0,6,3,3,325.0,9,14,9.1378,0.281841,0.29127,4,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,0,9,3,14,nan,nan,nan,nan,1.0,0.0,nan
LOLTMNT06_12814,complete,LEC,2024,Winter,0,2024-01-14 16:38:26,1,2134,9,bot,Ice,oe:player:8bac58409e91b96ecd05f6d8f053e07,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,1,5,3,4,345.0,14,9,9.7001,0.300523,0.264806,9,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,1,14,3,9,nan,nan,nan,nan,0.0,1.0,nan
LOLTMNT06_13803,complete,LEC,2024,Winter,0,2024-01-14 17:39:16,1,1849,4,bot,Supa,oe:player:1223a0ed2bfab9b714c72d965df8133,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,0,4,2,5,259.0,7,22,8.4045,0.329902,0.272077,4,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,0,7,2,22,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13803,complete,LEC,2024,Winter,0,2024-01-14 17:39:16,1,1849,9,bot,Exakick,oe:player:421e0bf2299dd900add6d3e99e69c5d,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,11,6,1,305.0,22,7,9.8972,0.336944,0.307161,9,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,22,6,7,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12845,complete,LEC,2024,Winter,0,2024-01-14 18:59:08,1,1925,4,bot,Hans Sama,oe:player:c62a5235ad6bc113a1e64eb0e9aa8c8,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,2,8,6,275.0,15,14,8.5714,0.203288,0.212765,4,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,15,8,14,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12845,complete,LEC,2024,Winter,0,2024-01-14 18:59:08,1,1925,9,bot,Upset,oe:player:fe4329cec43193c425eb28a4a4b304a,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,5,6,3,309.0,14,15,9.6312,0.384807,0.268995,9,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,14,6,15,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13841,complete,LEC,2024,Winter,0,2024-01-14 19:55:50,1,1781,4,bot,Noah,oe:player:95d286ec0a5d750d09e848a4e630c56,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,5,1,2,281.0,12,5,9.4666,0.237077,0.225824,4,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,12,1,5,nan,nan,nan,nan,1.0,0.0,nan
LOLTMNT06_13841,complete,LEC,2024,Winter,0,2024-01-14 19:55:50,1,1781,9,bot,Carzzy,oe:player:ec0c2b8d7630efba391c288765d4d7e,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,1,1,4,233.0,5,12,7.8495,0.228046,0.229496,9,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,5,1,12,nan,nan,nan,nan,0.0,1.0,nan
