gameid,datacompleteness,league,year,split,playoffs,date,game,gamelength,participantid,position,playername,playerid,teamname,teamid,result,kills,assists,deaths,total cs,teamkills,teamdeaths,cspm,damageshare,earnedgoldshare,participantid,teamname,teamid,result,teamkills,assists,teamdeaths,dragons,opp_dragons,heralds,opp_heralds,barons,opp_barons,towers
LOLTMNT06_13630,complete,LEC,2024,Winter,0,2024-01-13 16:10:20,1,1749,2,jng,Sheo,oe:player:404079b4e478ea2a8b57904c640311b,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,0,2,2,2,213.0,10,14,7.307,0.129709,0.18646,2,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,0,10,2,14,nan,nan,nan,nan,0.0,1.0,nan
LOLTMNT06_13630,complete,LEC,2024,Winter,0,2024-01-13 16:10:20,1,1749,7,jng,Yike,oe:player:4203fc46c4c6333e9bfa9d0a8618677,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,4,5,1,170.0,14,10,5.8319,0.0787935,0.184347,7,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,14,5,10,nan,nan,nan,nan,1.0,0.0,nan
LOLTMNT06_12701,complete,LEC,2024,Winter,0,2024-01-13 17:06:48,1,2080,2,jng,Markoon,oe:player:6c2d19f781192a84726e07f68a531b6,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,0,4,3,200.0,4,16,5.7692,0.0836015,0.155592,2,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,4,4,16,nan,nan,nan,nan,0.0,2.0,nan
LOLTMNT06_12701,complete,LEC,2024,Winter,0,2024-01-13 17:06:48,1,2080,7,jng,ISMA,oe:player:5450c7731de19c131ce20ea74933cc2,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,3,12,0,235.0,16,4,6.7788,0.246562,0.194594,7,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,16,12,4,nan,nan,nan,nan,2.0,0.0,nan
LOLTMNT06_13667,complete,LEC,2024,Winter,0,2024-01-13 18:15:52,1,2370,2,jng,Bo,oe:player:b0d8913d4dfb85c2325c0773ff52ae9,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,3,1,7,238.0,9,20,6.0253,0.118254,0.183648,2,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,9,1,20,nan,nan,nan,nan,1.0,2.0,nan
LOLTMNT06_13667,complete,LEC,2024,Winter,0,2024-01-13 18:15:52,1,2370,7,jng,Razork,oe:player:390ca7b6b38d552363eba1b5b54ff18,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,5,11,3,291.0,20,9,7.3671,0.200509,0.209026,7,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,20,11,9,nan,nan,nan,nan,2.0,1.0,nan
LOLTMNT06_12743,complete,LEC,2024,Winter,0,2024-01-13 19:24:48,1,1964,2,jng,Daglas,oe:player:b49867477e266c5da8e995074e18f80,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,0,13,6,168.0,18,24,5.1324,0.0731202,0.130848,2,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,18,13,24,nan,nan,nan,nan,0.0,1.0,nan
LOLTMNT06_12743,complete,LEC,2024,Winter,0,2024-01-13 19:24:48,1,1964,7,jng,Peach,oe:player:53841c6e42a6ce77b6f3b80133c9342,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,1,2,11,4,215.0,24,18,6.5682,0.117083,0.16502,7,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,1,24,11,18,nan,nan,nan,nan,1.0,0.0,nan
LOLTMNT06_13695,complete,LEC,2024,Winter,0,2024-01-13 20:28:03,1,1657,2,jng,Elyoya,oe:player:8a8f18e4b7d0f30c19c5fb99a526951,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,6,7,0,183.0,17,1,6.6264,0.180837,0.202669,2,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,17,7,1,nan,nan,nan,nan,1.0,0.0,nan
LOLTMNT06_13695,complete,LEC,2024,Winter,0,2024-01-13 20:28:03,1,1657,7,jng,Jankos,oe:player:a2f6e754fc2b358f7786f52decb4274,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,0,1,0,4,127.0,1,17,4.5987,0.102937,0.156298,7,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,0,1,0,17,nan,nan,nan,nan,0.0,1.0,nan
