gameid,datacompleteness,league,year,split,playoffs,date,game,gamelength,participantid,position,playername,playerid,teamname,teamid,result,kills,assists,deaths,total cs,teamkills,teamdeaths,cspm,damageshare,earnedgoldshare,participantid,teamname,teamid,result,teamkills,assists,teamdeaths,dragons,opp_dragons,heralds,opp_heralds,barons,opp_barons,towers
LOLTMNT06_13630,complete,LEC,2024,Winter,0,2024-01-13 16:10:20,1,1749,3,mid,nuc,oe:player:8f862245fbdb4d065e46c83630b9495,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,0,2,1,3,224.0,10,14,7.6844,0.324358,0.198391,3,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,0,10,1,14,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13630,complete,LEC,2024,Winter,0,2024-01-13 16:10:20,1,1749,8,mid,Caps,oe:player:55dd587cdc4a278be6a5c37f9e539de,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,2,7,0,281.0,14,10,9.6398,0.241985,0.23319,8,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,14,7,10,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12701,complete,LEC,2024,Winter,0,2024-01-13 17:06:48,1,2080,3,mid,Larssen,oe:player:d3f8c554a302aebd5d2bae668ae197e,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,1,3,5,304.0,4,16,8.7692,0.199843,0.239469,3,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,4,3,16,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12701,complete,LEC,2024,Winter,0,2024-01-13 17:06:48,1,2080,8,mid,Nisqy,oe:player:7adc518d589f32912c06de8dae7848e,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,1,6,2,323.0,16,4,9.3173,0.144238,0.215775,8,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,16,6,4,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13667,complete,LEC,2024,Winter,0,2024-01-13 18:15:52,1,2370,3,mid,SAKEN,oe:player:1d43b8dc600eba61cd7dd2cd8d6baf6,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,3,4,2,352.0,9,20,8.9114,0.340787,0.274081,3,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,9,4,20,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13667,complete,LEC,2024,Winter,0,2024-01-13 18:15:52,1,2370,8,mid,Humanoid,oe:player:edf8b064c096691e539b7e2a3e28179,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,3,6,3,327.0,20,9,8.2785,0.286226,0.214261,8,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,20,6,9,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12743,complete,LEC,2024,Winter,0,2024-01-13 19:24:48,1,1964,3,mid,Vetheo,oe:player:5eb466e63c91a4ccf328f21715e51ae,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,3,7,3,304.0,18,24,9.2872,0.17386,0.232545,3,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,18,7,24,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12743,complete,LEC,2024,Winter,0,2024-01-13 19:24:48,1,1964,8,mid,Jackies,oe:player:204746c853a12888ad72d8035cdf8c7,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,1,5,10,5,255.0,24,18,7.7902,0.225052,0.19627,8,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,1,24,10,18,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13695,complete,LEC,2024,Winter,0,2024-01-13 20:28:03,1,1657,3,mid,Fresskowy,oe:player:cda093b28f577696b82604fb20037ad,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,5,6,0,280.0,17,1,10.1388,0.380981,0.236642,3,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,17,6,1,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13695,complete,LEC,2024,Winter,0,2024-01-13 20:28:03,1,1657,8,mid,Perkz,oe:player:0634d9e86284da2fae4e1438d564eee,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,0,0,0,5,251.0,1,17,9.0887,0.222748,0.246378,8,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,0,1,0,17,nan,nan,nan,nan,0.0,0.0,nan
