gameid,datacompleteness,league,year,split,playoffs,date,game,gamelength,participantid,position,playername,playerid,teamname,teamid,result,kills,assists,deaths,total cs,teamkills,teamdeaths,cspm,damageshare,earnedgoldshare,participantid,teamname,teamid,result,teamkills,assists,teamdeaths,dragons,opp_dragons,heralds,opp_heralds,barons,opp_barons,towers
LOLTMNT06_13630,complete,LEC,2024,Winter,0,2024-01-13 16:10:20,1,1749,5,sup,Labrov,oe:player:bb6ac5763c6576e104a7a2f59eb4ddf,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,0,1,3,4,44.0,10,14,1.5094,0.0888232,0.115186,5,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,0,10,3,14,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13630,complete,LEC,2024,Winter,0,2024-01-13 16:10:20,1,1749,10,sup,Mikyx,oe:player:9d5052e9f9f4a63835f738441a3b1f6,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,0,7,4,40.0,14,10,1.3722,0.111998,0.0949858,10,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,14,7,10,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12701,complete,LEC,2024,Winter,0,2024-01-13 17:06:48,1,2080,5,sup,Zoelys,oe:player:fa22d396503a5a737f2f169943d7241,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,0,4,3,30.0,4,16,0.8654,0.0621478,0.0889897,5,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,4,4,16,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12701,complete,LEC,2024,Winter,0,2024-01-13 17:06:48,1,2080,10,sup,Doss,oe:player:f2264caa34a27d8f01634f39f307c85,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,1,14,0,31.0,16,4,0.8942,0.116954,0.0986962,10,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,16,14,4,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13667,complete,LEC,2024,Winter,0,2024-01-13 18:15:52,1,2370,5,sup,Targamas,oe:player:eaf899c6268995f9b1e40d1932c6888,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,1,4,5,32.0,9,20,0.8101,0.097288,0.0927747,5,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,9,4,20,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13667,complete,LEC,2024,Winter,0,2024-01-13 18:15:52,1,2370,10,sup,Jun,oe:player:054e5f8aeb885db6713f4a3e7328efc,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,1,16,1,25.0,20,9,0.6329,0.0717641,0.103987,10,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,20,16,9,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12743,complete,LEC,2024,Winter,0,2024-01-13 19:24:48,1,1964,5,sup,Hylissang,oe:player:3c784fdd6a025028ad063525c14027a,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,4,12,6,36.0,18,24,1.0998,0.076346,0.126585,5,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,18,12,24,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12743,complete,LEC,2024,Winter,0,2024-01-13 19:24:48,1,1964,10,sup,IgNar,oe:player:e22cffb92554f5dde312609feccc6f8,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,1,2,12,3,26.0,24,18,0.7943,0.0861731,0.101817,10,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,1,24,12,18,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13695,complete,LEC,2024,Winter,0,2024-01-13 20:28:03,1,1657,5,sup,Alvaro,oe:player:f5bf9bd732b85e4dcab5121e4769ae4,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,1,15,0,24.0,17,1,0.869,0.0570264,0.128906,5,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,17,15,1,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13695,complete,LEC,2024,Winter,0,2024-01-13 20:28:03,1,1657,10,sup,Kaiser,oe:player:ec0971fb900874b1c59179d9cd33687,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,0,0,0,3,40.0,1,17,1.4484,0.0983832,0.0892362,10,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,0,1,0,17,nan,nan,nan,nan,0.0,0.0,nan
