gameid,datacompleteness,league,year,split,playoffs,date,game,gamelength,participantid,position,playername,playerid,teamname,teamid,result,kills,assists,deaths,total cs,teamkills,teamdeaths,cspm,damageshare,earnedgoldshare,participantid,teamname,teamid,result,teamkills,assists,teamdeaths,dragons,opp_dragons,heralds,opp_heralds,barons,opp_barons,towers
LOLTMNT06_13630,complete,LEC,2024,Winter,0,2024-01-13 16:10:20,1,1749,1,top,Adam,oe:player:6a9abcfebed9c636ca90560b7f49855,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,0,3,3,3,232.0,10,14,7.9588,0.286116,0.257673,1,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,0,10,3,14,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13630,complete,LEC,2024,Winter,0,2024-01-13 16:10:20,1,1749,6,top,BrokenBlade,oe:player:84bff3a326833c7c9181c698f676878,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,4,2,3,260.0,14,10,8.9194,0.24884,0.236596,6,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,14,2,10,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12701,complete,LEC,2024,Winter,0,2024-01-13 17:06:48,1,2080,1,top,Szygenda,oe:player:57a976f165d89afb00fc029cd7c36a7,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,0,2,3,268.0,4,16,7.7308,0.311999,0.206573,1,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,4,2,16,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12701,complete,LEC,2024,Winter,0,2024-01-13 17:06:48,1,2080,6,top,Irrelevant,oe:player:027a5217b659e8bedb70978dea494d6,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,6,6,1,341.0,16,4,9.8365,0.318923,0.263638,6,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,16,6,4,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13667,complete,LEC,2024,Winter,0,2024-01-13 18:15:52,1,2370,1,top,Cabochard,oe:player:010c1b0d37c2b7459b215dae7ffeeac,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,0,4,4,287.0,9,20,7.2658,0.175212,0.186074,1,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,9,4,20,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13667,complete,LEC,2024,Winter,0,2024-01-13 18:15:52,1,2370,6,top,Oscarinin,oe:player:be9758f87345bcce47970a8f17b3c07,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,7,8,0,342.0,20,9,8.6582,0.169814,0.240149,6,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,20,8,9,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12743,complete,LEC,2024,Winter,0,2024-01-13 19:24:48,1,1964,1,top,Photon,oe:player:fd22b656b23ca07a276181a4953ba2c,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,6,9,3,297.0,18,24,9.0733,0.367425,0.269294,1,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,18,9,24,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_12743,complete,LEC,2024,Winter,0,2024-01-13 19:24:48,1,1964,6,top,Odoamne,oe:player:2b819506567c258f6fffdd4ec78ca0c,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,1,4,6,2,265.0,24,18,8.0957,0.235697,0.199701,6,GIANTX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,1,24,6,18,nan,nan,nan,nan,0.0,0.0,nan
LOLTMNT06_13695,complete,LEC,2024,Winter,0,2024-01-13 20:28:03,1,1657,1,top,Myrwn,oe:player:ede24d5e0911d7a4f6ec514a67802ff,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,3,3,1,245.0,17,1,8.8715,0.249913,0.236324,1,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,17,3,1,nan,nan,nan,nan,1.0,0.0,nan
LOLTMNT06_13695,complete,LEC,2024,Winter,0,2024-01-13 20:28:03,1,1657,6,top,Wunder,oe:player:d11068c782573b34be81beb5a4eeb12,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,0,0,1,2,251.0,1,17,9.0887,0.303445,0.238818,6,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,0,1,1,17,nan,nan,nan,nan,0.0,1.0,nan
