gameid,datacompleteness,league,year,split,playoffs,date,game,gamelength,participantid,position,playername,playerid,teamname,teamid,result,kills,assists,deaths,total cs,teamkills,teamdeaths,cspm,damageshare,earnedgoldshare,participantid,teamname,teamid,result,teamkills,assists,teamdeaths,dragons,opp_dragons,heralds,opp_heralds,barons,opp_barons,towers
10660-10660_game_1,partial,DCup,2023,-1,0,2024-01-01 05:13:15,1,1886,5,sup,Mark,oe:player:a74c2977c1fc826e9e7bdb6b224a141,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,0,0,3,3,30.0,3,16,0.9544,0.154333,0.105762,5,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,0,3,3,16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10660-10660_game_1,partial,DCup,2023,-1,0,2024-01-01 05:13:15,1,1886,10,sup,Zorah,oe:player:937dc5479c6416d1ad4997538144f6e,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,1,0,13,2,16.0,16,3,0.509,0.0793036,0.097806,10,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,1,16,13,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10660-10660_game_2,partial,DCup,2023,-1,0,2024-01-01 06:03:26,2,1911,5,sup,Mark,oe:player:a74c2977c1fc826e9e7bdb6b224a141,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,0,0,2,3,213.0,3,17,6.6876,0.0992791,0.201171,5,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,0,3,2,17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10660-10660_game_2,partial,DCup,2023,-1,0,2024-01-01 06:03:26,2,1911,10,sup,Zorah,oe:player:937dc5479c6416d1ad4997538144f6e,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,1,1,11,1,34.0,17,3,1.0675,0.0665323,0.0872682,10,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,1,17,11,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10660-10660_game_3,partial,DCup,2023,-1,0,2024-01-01 06:54:35,3,1324,5,sup,Hang,oe:player:ab2455e33b8ddb6a9d2d41107a2ed4f,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,1,2,8,2,17.0,21,3,0.7704,0.195614,0.125288,5,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,1,21,8,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10660-10660_game_3,partial,DCup,2023,-1,0,2024-01-01 06:54:35,3,1324,10,sup,Zorah,oe:player:937dc5479c6416d1ad4997538144f6e,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,0,0,2,3,15.0,3,21,0.6798,0.123286,0.10649,10,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,0,3,2,21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10660-10660_game_4,partial,DCup,2023,-1,0,2024-01-01 07:35:57,4,2032,5,sup,Zorah,oe:player:937dc5479c6416d1ad4997538144f6e,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,1,1,14,2,27.0,17,9,0.7972,0.0687976,0.0995951,5,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,1,17,14,9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10660-10660_game_4,partial,DCup,2023,-1,0,2024-01-01 07:35:57,4,2032,10,sup,Hang,oe:player:ab2455e33b8ddb6a9d2d41107a2ed4f,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,0,3,4,3,50.0,9,17,1.4764,0.187814,0.138366,10,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,0,9,4,17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10661-10661_game_1,partial,DCup,2023,-1,0,2024-01-01 08:45:42,1,2292,5,sup,MISSING,oe:player:10d1208b485425756fcc932229386b0,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,0,16,8,34.0,23,20,0.8901,0.0754206,0.0851274,5,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,23,16,20,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10661-10661_game_1,partial,DCup,2023,-1,0,2024-01-01 08:45:42,1,2292,10,sup,Meiko,oe:player:bda7cc061d7a1576f1dcad33dd505cd,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,0,3,12,4,17.0,20,23,0.445,0.0622331,0.111984,10,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,0,20,12,23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
